trial,pop_time_seconds
0,66.809
0,66.329
0,150.252
0,66.329
0,64.596
0,84.748
0,54.437
0,99.504
0,65.36
0,63.788
0,64.353
0,70.489
0,68.111
0,84.846
0,120.234
0,64.497
0,66.042
0,67.433
0,0.0
0,62.211
0,77.349
0,72.96
0,68.593
0,71.909
0,110.244
0,88.844
0,65.994
0,85.394
0,100.571
0,69.12
0,158.253
0,43.845
0,70.411
0,71.939
0,66.464
0,83.765
0,59.959
0,124.245
0,72.998
0,71.563
0,74.281
0,69.308
0,64.274
0,67.321
0,75.323
0,67.935
0,66.005
0,66.402
0,69.286
0,63.458
0,64.991
0,72.077
0,69.144
0,90.971
0,72.343
0,63.99
0,86.723
0,68.981
0,90.242
0,68.805
0,65.522
0,66.054
0,68.575
0,57.388
0,67.407
0,59.132
0,91.023
0,65.337
0,95.242
0,88.076
0,93.015
0,73.214
0,97.519
0,74.514
0,60.491
0,62.547
0,85.354
0,64.669
0,67.546
0,86.345
0,70.182
0,62.927
0,65.559
0,81.145
0,65.716
0,70.281
0,74.319
0,115.392
0,152.234
0,68.799
0,71.409
0,70.11
0,68.985
0,64.1
0,92.323
0,68.965
0,176.245
0,82.856
0,72.747
0,103.251
0,63.744
0,61.848
0,69.622
0,72.203
0,128.233
0,63.052
0,42.553
0,68.883
0,71.636
0,66.177
0,117.202
0,62.146
0,69.912
0,44.33
0,0.0
0,71.07
0,65.238
0,71.385
0,62.87
0,64.935
0,70.65
0,0.0
0,76.315
0,45.175
0,61.785
0,72.915
0,72.769
0,95.15
0,70.069
0,70.075
0,86.764
0,72.27
0,70.757
0,63.636
0,66.316
0,0.0
0,58.558
0,69.287
0,0.0
0,0.0
0,63.034
0,65.826
0,70.248
0,0.0
0,0.0
0,61.146
0,74.317
0,47.486
0,72.74
0,83.714
0,63.641
0,106.613
0,93.178
0,59.439
0,69.386
0,75.757
0,63.846
0,61.1
0,0.0
0,94.438
0,71.373
0,0.0
0,61.025
0,66.974
0,75.215
0,0.0
0,74.116
0,73.316
0,67.551
0,91.991
0,0.0
0,64.499
0,58.013
0,73.903
0,70.934
0,67.855
0,43.541
0,68.538
0,64.389
0,65.723
0,69.31
0,70.407
0,95.517
0,63.949
0,39.637
0,61.397
0,75.264
0,65.302
0,90.121
0,72.155
0,66.304
0,0.0
0,71.77
0,0.0
0,77.062
0,72.826
0,102.049
0,61.517
0,64.004
0,67.456
0,65.955
0,98.038
0,96.138
0,103.579
0,0.0
0,65.145
0,0.0
0,45.696
0,73.272
0,65.113
0,43.007
0,0.0
0,74.301
0,71.788
0,88.401
0,67.407
0,0.0
0,87.113
0,102.711
0,71.354
0,40.663
0,63.279
0,90.697
0,47.951
0,0.0
0,67.623
0,69.99
0,78.266
0,63.663
0,78.449
0,81.917
0,68.761
0,64.871
0,0.0
0,39.262
0,69.312
0,71.21
0,74.883
0,67.132
0,66.089
0,45.886
0,62.013
0,45.827
0,68.894
0,66.957
0,67.223
0,75.081
0,69.062
0,65.935
0,74.009
0,40.894
0,70.177
0,63.361
0,65.981
0,68.074
0,75.256
0,72.633
0,68.33
0,104.89
0,98.778
0,72.691
0,74.722
0,68.501
0,56.646
0,72.408
0,69.154
0,89.853
0,97.964
0,67.469
0,69.516
0,66.885
0,89.247
0,78.987
0,69.938
0,77.775
0,86.806
0,81.845
0,0.0
0,84.41
0,64.732
